prey,Base,Vec,Rab5GDP,Rab5GTP,Enr_GDP,Enr_GTP,sEnr_GDP,sEnr_GTP,p_GDP_Vec,p_GTP_Vec,p_GTP_GDP,p_GDP_GTP,p_GDP,p_GTP
Spink2,53.3,0.1,0,0.2,-1.23,0.77,-2.17,-3.11,0.024,0.002,0.294,0.706,0.017,0.001
Sgip1,106.2,287,0.1,169.4,-10.56,-0.76,-2.22,-2.99,0.024,0.002,0.324,0.676,0.016,0.001
Gm11780,179.8,0.3,0.1,0.6,-1.37,1.08,-2.17,-3.06,0.017,0.002,0.292,0.708,0.012,0.001
Slc30a1,94.3,0,0.1,0.4,1.26,3.09,-2.09,-3.12,0.024,0.002,0.276,0.724,0.017,0.001
Olfr558,13.5,0,0,0.1,0,1.32,-2.09,-3.17,0.022,0.002,0.266,0.734,0.016,0.001
Abcd2,24.8,0,0,0.1,0,1.32,-2.15,-3.18,0.02,0.002,0.273,0.727,0.015,0.001
Gm1993,104.7,0,0.1,0.3,1.26,2.81,-2.09,-3.09,0.022,0.002,0.277,0.723,0.016,0.001
Zkscan3,100.5,0.1,0,0.4,-1.8,1.29,-2.22,-3.06,0.024,0.002,0.323,0.677,0.016,0.001
Rit1,36.8,0,0,0.2,0,2,-2.13,-3.1,0.021,0.002,0.299,0.701,0.015,0.001
Rnf34,117.8,0.1,0,0.2,-1.1,0.9,-2.16,-3.16,0.022,0.002,0.288,0.712,0.016,0.001
Dnaic1,28.9,0,0,0.2,0,2,-2.14,-3.13,0.025,0.002,0.293,0.707,0.017,0.001
Ifi27,40.3,0,0,0.1,0,1.32,-2.12,-3.23,0.023,0.002,0.256,0.744,0.017,0.001
1700025G04Rik,66.7,0.1,0,0.2,-1.23,0.77,-2.17,-3.1,0.023,0.002,0.288,0.712,0.016,0.001
Cyp2d12,27.3,0,0,0.2,0,2,-2.12,-3.1,0.019,0.002,0.286,0.714,0.013,0.001
Nostrin,81.9,0,0.1,0.4,1.92,3.09,-2,-3.1,0.023,0.002,0.255,0.745,0.017,0.001
Gpc4,71.5,0.1,0,0.2,-1.23,0.77,-2.19,-3.14,0.017,0.002,0.301,0.699,0.012,0.001
Rpl9,49,0,0,0.2,0,2,-2.17,-3.13,0.019,0.002,0.286,0.714,0.014,0.001
Elmod1,41.3,0.1,0,0.2,-1.23,0.77,-2.17,-3.1,0.019,0.002,0.284,0.716,0.014,0.001
Eif6,15.3,0.1,0,0.2,-1.23,0.77,-2.19,-3.09,0.018,0.002,0.296,0.704,0.013,0.001
Gm6121,400.6,0.2,0.3,1,0.45,2.09,-2.07,-3.04,0.02,0.002,0.274,0.726,0.015,0.001
P2rx4,45.5,0.1,0,0.2,-1.1,1.36,-2.15,-3.03,0.019,0.002,0.302,0.698,0.014,0.001
Apod,204.5,0,0,0.2,0,2,-2.14,-3.15,0.022,0.002,0.272,0.728,0.016,0.001
1700006A11Rik,75,0,0,0.2,0,2,-2.16,-3.15,0.016,0.002,0.285,0.715,0.012,0.001
Amy2a5,344.9,0.3,0.3,1.3,0.05,1.78,-2.03,-2.99,0.022,0.002,0.275,0.725,0.016,0.001
Thnsl1,75.2,0,0,0.2,0,2,-2.15,-3.15,0.024,0.002,0.284,0.716,0.017,0.001
Rpl19,36.1,0,0.1,0.2,1.26,2.46,-2.07,-3.09,0.019,0.002,0.262,0.738,0.014,0.001
Naaa,109,0.1,0,0.3,-1.23,1.58,-2.21,-3.07,0.018,0.002,0.303,0.697,0.013,0.001
Zfp426,58.7,0.2,0,0.2,-2.15,0.32,-2.16,-3.11,0.024,0.002,0.288,0.712,0.017,0.001
Gtf2h1,153.7,0,0,0.2,0,2,-2.17,-3.16,0.022,0.002,0.284,0.716,0.016,0.001
Nprl3,5.7,0,0,0.1,0,1.32,-2.1,-3.2,0.024,0.002,0.268,0.732,0.018,0.001
Zswim1,14.4,0,0,0.1,0,1.32,-2.12,-3.19,0.024,0.002,0.265,0.735,0.018,0.001
Pttg1,116.5,0.1,0.1,0.5,0.69,2.1,-2.03,-3.04,0.018,0.002,0.262,0.738,0.013,0.001
4930538K18Rik,34.9,0.1,0,0.2,-1.23,0.77,-2.19,-3.16,0.019,0.002,0.297,0.703,0.014,0.001
Dnajb4,140.1,1090.4,88.8,815.9,-3.62,-0.42,-2.15,-2.97,0.018,0.002,0.304,0.696,0.013,0.001
Aurka,46.5,0,0,0.1,0,1.32,-2.12,-3.25,0.02,0.002,0.248,0.752,0.015,0.001
Hccs,100.5,0.1,0.1,0.4,0.03,1.86,-2.09,-3,0.02,0.002,0.277,0.723,0.015,0.001
Entpd1,90.4,0,0,0.2,0,2,-2.14,-3.17,0.02,0.002,0.281,0.719,0.015,0.001
Slc1a4,82.8,0.1,0,0.3,-1.72,1.09,-2.22,-3.1,0.02,0.002,0.308,0.692,0.014,0.001
Tmco2,146,0.1,0.3,0.6,1.77,2.47,-1.94,-3.02,0.024,0.002,0.238,0.762,0.018,0.001
Cwh43,18,0,0,0.1,0,1.32,-2.12,-3.21,0.017,0.002,0.261,0.739,0.013,0.001
Fbp2,15.3,0,0,0.1,0,1.32,-2.15,-3.2,0.02,0.002,0.262,0.738,0.015,0.001
Epb4.1l2,190.2,0.3,0.2,0.8,-0.25,1.38,-2.04,-3.02,0.02,0.002,0.269,0.731,0.015,0.001
Gm5935,209.9,0.1,0.1,0.7,0.69,2.63,-2.03,-2.97,0.02,0.002,0.279,0.721,0.014,0.001
Gm10354,55.9,0.1,0.1,0.3,0.03,1.58,-2.07,-3.05,0.023,0.002,0.272,0.728,0.017,0.001
Plxnc1,83.6,0.1,0,0.2,-1.23,0.77,-2.16,-3.16,0.023,0.002,0.286,0.714,0.016,0.001
D930020B18Rik,3.9,0,0,0.1,0,1.32,-2.1,-3.18,0.019,0.002,0.255,0.745,0.014,0.001
Zfp639,42.6,0.1,0,0.2,-1.23,0.77,-2.15,-3.13,0.019,0.002,0.286,0.714,0.013,0.001
Cdk1,161.5,0.1,0,0.2,-1.23,1.23,-2.18,-3.12,0.018,0.002,0.293,0.707,0.013,0.001
Ddt,10.2,0,0,0.1,0,1.32,-2.1,-3.18,0.021,0.002,0.262,0.738,0.015,0.001
Tada2b,85.7,0.1,0,0.2,-1.23,1.23,-2.16,-3.12,0.022,0.002,0.298,0.702,0.016,0.001
Usp44,58.3,0,0,0.2,0,2,-2.13,-3.16,0.026,0.002,0.28,0.72,0.019,0.001
Elp2,110.1,0,0.1,0.2,1.26,2.46,-2.04,-3.14,0.021,0.002,0.239,0.761,0.016,0.001
Ak1,5.4,0,0,0.1,0,1.32,-2.12,-3.22,0.023,0.002,0.274,0.726,0.016,0.001
Als2cr12,131.6,0,0,0.2,0,2,-2.16,-3.17,0.022,0.002,0.277,0.723,0.016,0.001
Fcrla,8.7,0,0,0.1,0,1.32,-2.1,-3.19,0.022,0.002,0.268,0.732,0.016,0.001
Zscan18,39.9,0,0,0.2,0,2,-2.15,-3.14,0.023,0.002,0.286,0.714,0.016,0.001
Gle1,90.3,0.1,0.1,0.2,0.03,1.23,-2.1,-3.09,0.02,0.002,0.274,0.726,0.014,0.001
Lect1,3.9,0,0,0.1,0,1.32,-2.13,-3.2,0.018,0.002,0.262,0.738,0.013,0.001
Dag1,203.5,0.1,0.1,0.5,0.69,2.1,-2.04,-3.07,0.02,0.002,0.255,0.745,0.015,0.001
Uba2,242.9,0.1,0,0.4,-1.8,1.29,-2.2,-3.06,0.023,0.002,0.306,0.694,0.016,0.001
Wdr1,78.2,0.1,0,0.2,-1.23,0.77,-2.16,-3.18,0.02,0.002,0.276,0.724,0.015,0.001
Fgfr3,17.3,0,0,0.1,0,1.32,-2.1,-3.17,0.023,0.002,0.261,0.739,0.017,0.001
Gemin2,10.6,0,0,0.1,0,1.32,-2.12,-3.21,0.022,0.002,0.259,0.741,0.016,0
Speer4e,111.3,0.3,0,0.5,-2.67,0.85,-2.19,-3.05,0.025,0.002,0.313,0.687,0.017,0
Ranbp10,27.9,0,0,0.2,0,2,-2.13,-3.12,0.022,0.002,0.282,0.718,0.016,0
Ezh2,104.2,0.1,0,0.2,-1.1,1.36,-2.18,-3.11,0.019,0.002,0.291,0.709,0.014,0
Chrnb1,21.9,0,0,0.2,0,2,-2.14,-3.08,0.021,0.002,0.299,0.701,0.015,0
Abhd15,3.2,0,0,0.1,0,1.32,-2.1,-3.18,0.027,0.002,0.264,0.736,0.02,0
Mak,66.7,0,0,0.2,0,2,-2.17,-3.13,0.021,0.002,0.285,0.715,0.015,0
Gfer,7.3,0,0,0.1,0,1.32,-2.16,-3.21,0.025,0.002,0.275,0.725,0.018,0
Tecrl,3.8,0,0,0.1,0,1.32,-2.1,-3.18,0.019,0.002,0.252,0.748,0.014,0
Kif2c,60.9,0.1,0,0.2,-1.23,0.77,-2.17,-3.15,0.02,0.002,0.284,0.716,0.014,0
Abca8a,51.8,0,0,0.2,0,2,-2.15,-3.11,0.019,0.002,0.285,0.715,0.014,0
Gtf2f2,152.6,0,0,0.2,0,2,-2.15,-3.18,0.017,0.002,0.273,0.727,0.012,0
Cd72,8.4,0,0,0.1,0,1.32,-2.14,-3.2,0.022,0.002,0.277,0.723,0.016,0
Mtmr2,88.5,0.1,0.1,0.3,0.16,1.71,-2.05,-3.09,0.019,0.002,0.263,0.737,0.014,0
Igsf5,203,0.1,0,0.5,-1.72,1.61,-2.21,-3.1,0.022,0.002,0.3,0.7,0.015,0
Mrpl32,14.3,0,0,0.1,0,1.32,-2.12,-3.22,0.024,0.002,0.261,0.739,0.018,0
Phactr1,114.1,0,0,0.2,0,2,-2.15,-3.18,0.022,0.002,0.276,0.724,0.016,0
Spz1,237.4,0.1,0.1,0.3,0.03,1.58,-2.11,-3.11,0.018,0.002,0.27,0.73,0.013,0
Ppp1r11,26.9,0,0,0.1,0,1.32,-2.1,-3.27,0.02,0.002,0.253,0.747,0.015,0
Snhg11,180.9,0,0.1,0.3,1.26,2.81,-2.06,-3.15,0.018,0.002,0.242,0.758,0.013,0
Eftud2,12.4,0,0,0.1,0,1.32,-2.1,-3.19,0.021,0.002,0.264,0.736,0.016,0
Slc24a5,58.7,0,0,0.2,0,2,-2.15,-3.14,0.023,0.002,0.291,0.709,0.016,0
Slc22a4,44,0,0,0.1,0,1.32,-2.13,-3.24,0.021,0.002,0.257,0.743,0.016,0
Cnot6,366.5,0.2,0.3,1,0.67,2.03,-2.05,-3.07,0.024,0.002,0.256,0.744,0.018,0
Gtf2e1,31.6,0,0,0.1,0,1.32,-2.1,-3.21,0.023,0.002,0.257,0.743,0.017,0
Acsl5,180.2,0.1,0.2,0.5,0.57,1.72,-2.02,-3.09,0.023,0.002,0.251,0.749,0.017,0
Angptl3,43.2,0,0,0.2,0,2,-2.15,-3.16,0.02,0.002,0.274,0.726,0.014,0
Blm,24.9,0,0,0.1,0,1.32,-2.13,-3.26,0.022,0.002,0.256,0.744,0.016,0
Znf512b,62.7,0.1,0.1,0.3,-0.45,1.09,-2.07,-3.12,0.02,0.002,0.264,0.736,0.015,0
Zmiz1,25.2,0,0,0.1,0,1.32,-2.14,-3.25,0.024,0.002,0.263,0.737,0.018,0
Cd8b1,91.3,0,0.1,0.3,1.26,2.81,-2.06,-3.13,0.024,0.002,0.26,0.74,0.018,0
Ndufa13,11.6,0,0,0.1,0,1.32,-2.11,-3.23,0.02,0.002,0.254,0.746,0.015,0
Vwa3a,16.6,0,0,0.1,0,1.32,-2.11,-3.24,0.023,0.002,0.257,0.743,0.017,0
Sh3yl1,198.2,0.8,0,0.7,-4.01,-0.14,-2.18,-3.13,0.018,0.002,0.29,0.71,0.013,0
Gnpda1,130.4,0.1,0,0.3,-1.23,1.58,-2.18,-3.11,0.023,0.002,0.293,0.707,0.016,0
Gtsf1l,117.7,0,0,0.2,0,2,-2.17,-3.17,0.022,0.002,0.277,0.723,0.016,0
D230025D16Rik,80.4,0.1,0.2,0.4,1.28,1.99,-2,-3.07,0.019,0.002,0.246,0.754,0.015,0
Reln,58.3,0.1,0,0.2,-1.23,0.77,-2.18,-3.15,0.022,0.002,0.279,0.721,0.016,0
Abl1,8.7,0,0,0.1,0,1.32,-2.14,-3.23,0.025,0.002,0.269,0.731,0.018,0
Ptprg,106.4,0.6,0,0.6,-3.76,-0.06,-2.13,-3.1,0.019,0.002,0.295,0.705,0.014,0
Slc38a5,33.2,0,0,0.1,0,1.32,-2.1,-3.2,0.025,0.002,0.247,0.753,0.019,0
Zfp81,10.4,0,0,0.1,0,1.32,-2.11,-3.21,0.021,0.002,0.258,0.742,0.016,0
S100a11,8.4,0,0,0.1,0,1.32,-2.1,-3.23,0.021,0.002,0.261,0.739,0.016,0
Mapk1ip1,71.5,0.1,0,0.2,-1.8,0.66,-2.22,-3.16,0.02,0.002,0.294,0.706,0.014,0
Cd59b,15.6,0,0,0.1,0,1.32,-2.09,-3.2,0.023,0.002,0.257,0.743,0.017,0
Zfp954,36.4,0,0,0.1,0,1.32,-2.1,-3.23,0.021,0.002,0.249,0.751,0.016,0
Gatad1,94,0,0,0.2,0,2,-2.16,-3.14,0.022,0.002,0.28,0.72,0.016,0
Gm10058,1732.5,0.8,4.2,6.5,2.32,2.95,-1.94,-3,0.026,0.002,0.233,0.767,0.02,0
Pmm2,15.3,0,0,0.1,0,1.32,-2.13,-3.23,0.02,0.002,0.259,0.741,0.015,0
Map2k6,55.5,0,0,0.1,0,1.32,-2.1,-3.25,0.019,0.002,0.242,0.758,0.014,0
Dusp15,22.2,0,0,0.1,0,1.32,-2.14,-3.24,0.02,0.002,0.262,0.738,0.015,0
Sgce,143.9,0,0.1,0.4,1.26,3.09,-2.12,-3.12,0.021,0.002,0.26,0.74,0.016,0
Zfp819,4.3,0,0,0.1,0,1.32,-2.07,-3.18,0.027,0.002,0.261,0.739,0.02,0
Ankrd36,225.8,0.1,0.1,0.5,0.69,2.1,-2.04,-3.09,0.023,0.002,0.253,0.747,0.017,0
Hgd,13.7,0,0,0.1,0,1.32,-2.13,-3.25,0.025,0.002,0.258,0.742,0.019,0
Tmem86a,8.1,0,0,0.1,0,1.32,-2.08,-3.21,0.027,0.002,0.249,0.751,0.02,0
Med21,77.5,0,0,0.2,0,2,-2.15,-3.18,0.021,0.002,0.279,0.721,0.015,0
Ecscr,202.4,0.1,0.3,0.5,1.49,2.1,-1.96,-3.11,0.024,0.002,0.227,0.773,0.018,0
Serpinb5,104.2,0,0.1,0.2,1.26,2.46,-2.03,-3.15,0.023,0.002,0.246,0.754,0.017,0
3110035E14Rik,139.2,0.1,0.3,0.5,1.49,2.3,-1.95,-3.05,0.024,0.002,0.248,0.752,0.018,0
Sly,195,0.1,0.1,0.6,0.12,1.9,-2.05,-3.09,0.02,0.002,0.262,0.738,0.015,0
Zfp386,61.1,0,0,0.1,0,1.32,-2.14,-3.24,0.017,0.002,0.248,0.752,0.012,0
Foxq1,5.6,0,0,0.1,0,1.32,-2.13,-3.19,0.025,0.002,0.268,0.732,0.019,0
Plec,6.9,0,0,0.1,0,1.32,-2.14,-3.18,0.023,0.002,0.275,0.725,0.017,0
Rnf43,6.5,0,0,0.1,0,1.32,-2.12,-3.23,0.021,0.002,0.26,0.74,0.016,0
Pmfbp1,82,0,0,0.1,0,1.32,-2.14,-3.28,0.022,0.002,0.255,0.745,0.017,0
Fkbp5,71.6,0,0,0.1,0,1.32,-2.14,-3.26,0.018,0.002,0.259,0.741,0.013,0
Cnih1,290.3,0.3,0.2,0.8,-0.5,1.13,-2.03,-3.1,0.023,0.002,0.257,0.743,0.017,0
Nktr,211.5,0.5,0.2,0.9,-1.18,0.7,-2.11,-3.09,0.022,0.002,0.26,0.74,0.016,0
Mpzl1,63.6,0,0.1,0.2,1.26,2.46,-2.04,-3.16,0.022,0.002,0.25,0.75,0.016,0
Trmt6,124,0.2,0.1,0.5,-0.61,0.8,-2.07,-3.11,0.021,0.002,0.259,0.741,0.016,0
Mcm7,40.5,0,0,0.1,0,1.32,-2.13,-3.19,0.027,0.002,0.265,0.735,0.02,0
Pomt2,22.5,0,0,0.1,0,1.32,-2.12,-3.25,0.021,0.002,0.261,0.739,0.016,0
Pqbp1,18.2,0.1,0,0.2,-1.1,0.9,-2.14,-3.15,0.02,0.001,0.276,0.724,0.014,0
Itm2b,583.2,0.1,1.3,1.8,2.91,3.41,-1.92,-3.04,0.029,0.002,0.22,0.78,0.023,0
Nom1,52.3,0,0,0.1,0,1.32,-2.14,-3.27,0.026,0.002,0.256,0.744,0.019,0
Dock4,5.3,0,0,0.1,0,1.32,-2.11,-3.18,0.026,0.002,0.259,0.741,0.019,0
1700034E13Rik,24.9,0,0,0.1,0,1.32,-2.09,-3.23,0.02,0.002,0.254,0.746,0.015,0
Mapkapk5,36.4,0,0,0.1,0,1.32,-2.12,-3.27,0.022,0.002,0.241,0.759,0.017,0
Ccnb1ip1,25,0,0,0.1,0,1.32,-2.11,-3.28,0.021,0.002,0.248,0.752,0.016,0
Zfp422,151.5,0.2,0.2,0.5,0.23,1.18,-2,-3.09,0.025,0.002,0.24,0.76,0.019,0
Mtmr1,150.6,0,0.1,0.3,1.26,2.81,-2.05,-3.14,0.023,0.002,0.245,0.755,0.017,0
Rps3a1,185.7,0.1,0.1,0.4,-0.54,1.29,-2.14,-3.13,0.019,0.002,0.265,0.735,0.014,0
Rptor,11.1,0,0,0.1,0,1.32,-2.1,-3.2,0.02,0.002,0.256,0.744,0.015,0
Mettl10,25.2,0,0,0.1,0,1.32,-2.15,-3.24,0.024,0.002,0.266,0.734,0.017,0
Itih5,171.3,18.4,0.2,7.2,-6.15,-1.34,-2.21,-3.16,0.018,0.001,0.283,0.717,0.013,0
Cd8a,79.5,0,0,0.2,0,2,-2.2,-3.19,0.019,0.001,0.284,0.716,0.014,0
Svip,173.5,0.1,0.1,0.4,0.69,1.86,-2.04,-3.1,0.023,0.002,0.24,0.76,0.017,0
Cypt4,29.7,0,0,0.1,0,1.32,-2.15,-3.23,0.023,0.002,0.251,0.749,0.017,0
Gm14295,159.8,0.8,0.1,0.8,-2.82,0.05,-2.14,-3.09,0.02,0.001,0.289,0.711,0.014,0
Gsto1,109.4,0.1,0,0.2,-1.1,0.9,-2.17,-3.16,0.023,0.001,0.273,0.727,0.017,0
Pola1,17.4,0,0,0.1,0,1.32,-2.1,-3.22,0.021,0.002,0.246,0.754,0.016,0
Ssh2,220.2,0.1,0.1,0.3,0.03,1.58,-2.06,-3.15,0.025,0.002,0.251,0.749,0.019,0
Plce1,64.9,0.1,0,0.2,-1.23,0.77,-2.17,-3.14,0.02,0.001,0.285,0.715,0.014,0
Zfp30,17.2,0,0,0.1,0,1.32,-2.12,-3.22,0.021,0.002,0.239,0.761,0.016,0
Smek2,206.5,0.2,0.2,0.8,0.17,1.79,-2.03,-3,0.024,0.001,0.267,0.733,0.018,0
Epha6,21.4,0.1,0,0.1,-1.1,0.22,-2.16,-3.26,0.023,0.002,0.251,0.749,0.018,0
Gm166,39.4,0,0,0.1,0,1.32,-2.12,-3.23,0.023,0.002,0.247,0.753,0.017,0
Fyco1,192.1,5062.7,148.6,2322,-5.09,-1.12,-2.15,-3.08,0.021,0.001,0.294,0.706,0.015,0
Slfn4,19,0,0,0.1,0,1.32,-2.11,-3.23,0.023,0.002,0.253,0.747,0.017,0
Antxr1,241.2,0.2,0.3,0.8,0.39,1.8,-2.02,-3.08,0.021,0.002,0.25,0.75,0.016,0
Styxl1,105.3,0,0,0.2,0,2,-2.2,-3.2,0.019,0.001,0.277,0.723,0.014,0
Tril,22.1,0,0,0.1,0,1.32,-2.17,-3.22,0.022,0.001,0.26,0.74,0.017,0
Eef1g,187,0.2,0.1,0.4,-0.95,0.88,-2.11,-3.15,0.023,0.001,0.268,0.732,0.017,0
Gyg,179,0.1,0.1,0.4,0.69,1.86,-2.04,-3.09,0.021,0.002,0.249,0.751,0.016,0
1700013H16Rik,197.1,0.1,0.1,0.5,0.21,1.61,-2.06,-3.12,0.024,0.001,0.255,0.745,0.018,0
Snn,148.7,0,0.2,0.5,2.38,3.32,-1.99,-3.16,0.024,0.002,0.227,0.773,0.018,0
Dyrk3,25.9,0,0,0.1,0,1.32,-2.12,-3.26,0.022,0.002,0.253,0.747,0.016,0
Cnpy4,55.2,0,0,0.1,0,1.32,-2.12,-3.24,0.026,0.001,0.253,0.747,0.02,0
Npc2,273.1,46647,78.8,27489.6,-9.21,-0.76,-2.26,-3.1,0.02,0.001,0.311,0.689,0.014,0
Cox7a2,134.1,0.1,0,0.2,-1.8,0.66,-2.19,-3.13,0.018,0.001,0.279,0.721,0.013,0
Id2,6.3,0,0,0.1,0,1.32,-2.11,-3.21,0.025,0.001,0.26,0.74,0.018,0
Gpr19,7,0,0,0.1,0,1.32,-2.12,-3.23,0.022,0.001,0.262,0.738,0.016,0
Slc47a1,179.5,0.1,0.1,0.4,0.69,1.86,-2.04,-3.15,0.019,0.002,0.24,0.76,0.015,0
Prom1,212.1,0.1,0,0.2,-1.23,1.23,-2.19,-3.15,0.023,0.001,0.284,0.716,0.016,0
Gtf3c2,160.4,0,0,0.2,0,2,-2.14,-3.18,0.019,0.001,0.264,0.736,0.014,0
Uggt2,75.6,0,0,0.1,0,1.32,-2.14,-3.3,0.021,0.001,0.248,0.752,0.016,0
Tbc1d10b,30.8,0.1,0,0.2,-1.1,0.9,-2.15,-3.15,0.016,0.001,0.275,0.725,0.012,0
Nr1d2,222.6,108.8,0.2,56.2,-8.71,-0.95,-2.24,-3.09,0.022,0.001,0.322,0.678,0.015,0
Mup15,298.1,0.2,0.2,0.8,-0.1,1.65,-2.08,-3.07,0.022,0.001,0.266,0.734,0.016,0
Cast,251,0.2,0.2,0.5,-0.15,1,-2.03,-3.13,0.022,0.001,0.245,0.755,0.017,0
Zfp677,30.5,0,0,0.1,0,1.32,-2.15,-3.27,0.022,0.001,0.26,0.74,0.016,0
Cox18,7.4,0,0,0.1,0,1.32,-2.1,-3.24,0.024,0.001,0.249,0.751,0.018,0
Col14a1,27.4,0,0,0.1,0,1.32,-2.09,-3.24,0.024,0.001,0.247,0.753,0.018,0
Cep57,265.5,0.2,0.2,0.8,0.17,1.79,-2.08,-3.08,0.016,0.001,0.267,0.733,0.012,0
Ilkap,13.8,0,0,0.1,0,1.32,-2.16,-3.2,0.023,0.001,0.262,0.738,0.017,0
Dnajc28,36.4,0,0,0.1,0,1.32,-2.11,-3.27,0.027,0.001,0.253,0.747,0.02,0
Zfp191,123,0,0.1,0.5,1.92,3.32,-2.05,-3.13,0.023,0.001,0.243,0.757,0.017,0
Rps15,13,0,0,0.1,0,1.32,-2.09,-3.26,0.019,0.001,0.243,0.757,0.014,0
Tamm41,14.6,0,0,0.1,0,1.32,-2.16,-3.21,0.02,0.001,0.265,0.735,0.015,0
Cmtm6,237.9,0.2,0.2,0.6,0.17,1.49,-2.03,-3.17,0.018,0.001,0.245,0.755,0.014,0
3830406C13Rik,324.9,0.4,0.1,0.9,-1.34,0.99,-2.12,-3.08,0.019,0.001,0.273,0.727,0.014,0
Glrx3,226.6,0.2,0.1,0.5,-0.22,1.38,-2.07,-3.1,0.02,0.001,0.263,0.737,0.015,0
Psme4,246.2,0.5,0.2,0.9,-1.05,0.82,-2.11,-3.11,0.023,0.001,0.266,0.734,0.017,0
Col3a1,331.8,0.5,0.3,1.2,-0.8,1.13,-2.09,-3.08,0.02,0.001,0.256,0.744,0.015,0
Lrp10,18.2,0,0,0.1,0,1.32,-2.13,-3.24,0.02,0.001,0.246,0.754,0.015,0
Fam101b,54.8,0,0,0.1,0,1.32,-2.11,-3.25,0.026,0.001,0.249,0.751,0.019,0
Psma1,668,0.2,0.3,0.9,0.51,2.04,-2.08,-3.11,0.022,0.001,0.251,0.749,0.016,0
Slc7a3,24.9,0,0,0.1,0,1.32,-2.13,-3.25,0.023,0.001,0.261,0.739,0.017,0
Dpcd,46.4,0,0,0.1,0,1.32,-2.1,-3.28,0.024,0.002,0.234,0.766,0.019,0
Mtmr12,81.5,0.2,0,0.2,-2.58,-0.12,-2.2,-3.22,0.021,0.001,0.266,0.734,0.015,0
Rpain,56.5,0,0,0.1,0,1.32,-2.16,-3.27,0.022,0.001,0.252,0.748,0.016,0
Polr3c,12.6,0,0,0.1,0,1.32,-2.11,-3.24,0.023,0.001,0.252,0.748,0.017,0
Shisa2,52.3,0,0,0.1,0,1.32,-2.15,-3.27,0.023,0.001,0.25,0.75,0.017,0
Tubb4b,52.1,0,0,0.1,0,1.32,-2.12,-3.28,0.02,0.001,0.237,0.763,0.015,0
Cdca5,8,0,0,0.1,0,1.32,-2.09,-3.23,0.019,0.001,0.243,0.757,0.014,0
Lca5l,12.2,0,0,0.1,0,1.32,-2.11,-3.22,0.025,0.001,0.267,0.733,0.018,0
Snrpd3,60.9,0,0,0.1,0,1.32,-2.14,-3.26,0.023,0.001,0.245,0.755,0.017,0
Psma2,290.8,0.2,0.1,0.5,-0.95,1.11,-2.12,-3.13,0.024,0.001,0.273,0.727,0.018,0
Rbmxl1,100.3,0,0.1,0.2,1.26,2.46,-2.06,-3.2,0.02,0.001,0.235,0.765,0.015,0
Wdr83os,45.7,0.1,0,0.2,-1.1,0.9,-2.14,-3.11,0.022,0.001,0.28,0.72,0.016,0
Abl2,33.3,0,0,0.1,0,1.32,-2.15,-3.25,0.02,0.001,0.248,0.752,0.015,0
Ube2w,212.2,0.1,0.3,0.8,0.92,2.2,-2.04,-3.08,0.02,0.001,0.245,0.755,0.015,0
Cyp4a12a,308.3,0.1,0.2,0.6,1.15,2.47,-2.05,-3.12,0.018,0.001,0.243,0.757,0.014,0
Vash1,12.3,0,0,0.1,0,1.32,-2.11,-3.22,0.024,0.001,0.26,0.74,0.018,0
Zfp335,15.4,0,0,0.1,0,1.32,-2.13,-3.24,0.021,0.001,0.257,0.743,0.015,0
Pter,385.6,0.1,0.3,0.8,0.92,2.2,-2.05,-3.12,0.018,0.001,0.247,0.753,0.014,0
Olfr215,2.1,0,0,0.1,0,1.32,-2.09,-3.23,0.023,0.001,0.246,0.754,0.017,0
Sec23a,175,0.3,0.1,0.6,-1.61,0.83,-2.14,-3.1,0.019,0.001,0.28,0.72,0.014,0
Gm16390,51.2,0.1,0,0.2,-1.23,0.77,-2.17,-3.14,0.023,0.001,0.271,0.729,0.017,0
Gins3,8.8,0,0,0.1,0,1.32,-2.09,-3.23,0.024,0.001,0.253,0.747,0.018,0
Shcbp1,73.8,0.1,0,0.2,-1.23,0.77,-2.19,-3.18,0.02,0.001,0.278,0.722,0.015,0
Fam221b,26,0.1,0,0.2,-1.88,0.12,-2.15,-3.16,0.02,0.001,0.272,0.728,0.015,0
Mup2,518.7,0.3,0.5,1.3,0.46,1.76,-2.04,-3.09,0.021,0.001,0.246,0.754,0.016,0
Myef2,91.3,0.1,0.1,0.3,-0.54,1.01,-2.05,-3.11,0.022,0.001,0.254,0.746,0.017,0
Uqcc3,4.1,0.1,0,0.1,-1.1,0.22,-2.12,-3.24,0.023,0.001,0.246,0.754,0.017,0
Trappc4,69.9,0,0,0.1,0,1.32,-2.14,-3.25,0.022,0.001,0.253,0.747,0.017,0
Snf8,16.2,0,0,0.1,0,1.32,-2.11,-3.23,0.028,0.001,0.255,0.745,0.021,0
Ccnh,80.1,0.1,0,0.2,-1.8,0.2,-2.22,-3.21,0.022,0.001,0.278,0.722,0.016,0
Scgb3a2,42.2,0.2,0,0.2,-2.27,0.19,-2.18,-3.12,0.021,0.001,0.284,0.716,0.015,0
Capn7,168.9,665.5,198.8,570.4,-1.74,-0.22,-2.05,-3.03,0.02,0.001,0.263,0.737,0.015,0
Map9,56.1,0,0.1,0.2,1.26,2.46,-2.03,-3.17,0.02,0.001,0.238,0.762,0.016,0
Dcaf12,200.7,0.1,0,0.3,-1.88,0.93,-2.15,-3.17,0.018,0.001,0.28,0.72,0.013,0
